id,sentence,verb,xcomp,level,sub
29504,Lubage kutsikal uue koduga tutvuda ja õppida tundma uusi lõhnu.,õppima,tundma,gümn,ja õppida tundma
29731,"Aga mitte see, mida olin harjunud nägema.",harjuma,nägema,gümn,", olin harjunud nägema"
29878,Kuidas ta tänapäeval hakkama saab?,saama,hakkama,gümn,Kuidas ta tänapäeval hakkama saab ?
29902,"Olen väga uhke, et saan hakkama.",saama,hakkama,gümn,", et saan hakkama"
30206,Uut informatsiooni tuleb kogu aeg juurde ja meeldejäetu kipub sageli ununema.,kippuma,ununema,gümn,ja kipub ununema
30571,"Tuleb koguda vajalikku infot, õppida selles orienteeruma ja kasutada seda praktikas.",õppima,orienteeruma,gümn,", õppida orienteeruma"
30581,"Kui me oleme õppinud ennast hästi tundma, siis teame, mille poole tasub püüelda, millega võib rahul olla.",õppima,tundma,gümn,"Kui me oleme õppinud tundma ,"
30863,"Tahaksin reisida, kaks kilo alla võtta, korralikult lumelauaga sõitma õppida.",õppima,sõitma,gümn,sõitma õppida
31167,Inimene ei harju enam iseseisvalt mõtlema ja tegutsema.,harjuma,mõtlema,gümn,Inimene ei harju mõtlema .
31647,"Raske on aga hakkama saada negatiivsete stressoritega, nagu mittemõistmine, solvumised ja teiste inimeste jõhkrus.",saama,hakkama,gümn,hakkama saada stressoritega
31756,"Õppige ära tundma buliimiahoo esimesi tundemärke, analüüsige stressiseisundi põhjuseid ning kõrvaldage need.",õppima,tundma,gümn,Õppige tundma kõrvaldage .
32277,"Arvasin, et saan hakkama.",saama,hakkama,gümn,", et saan hakkama"
32701,"Esimeses peavad osalejad talvises metsas hakkama saama minimaalse toiduvaruga (500 kcal päevas), teises faasis tuleb otsida suvisest metsast toitu ja kolmandas korraldatakse ekstreemseid treeninguid, nagu püssilaskmine ja langevarjuhüpped.",saama,hakkama,gümn,Esimeses peavad osalejad metsas hakkama saama toiduvaruga tuleb .
32715,Lisaks hakkavad varbad üha märjemaks ja märjemaks saama.,saama,märjema,gümn,ja märjemaks saama
34132,"Ajakirjanik pidas neist noorimaga, tol ajal teises klassis õppiva Maiga, maha turniiri, mille kaotas.",pidama,noorima,kl6,Ajakirjanik pidas noorimaga Maiga maha turniiri .
34351,"See tähendab, et üks puhastuses, üks lapsel seljas, üks reservis, et oleks võtta, kui laps juhtub rõivad kunstiringis värviga ära määrima.",juhtuma,määrima,kl6,", kui laps juhtub määrima"
35001,"Mida varem noor inimene õpib majandama ja oma rahaga ümber käima, seda paremini oskab ta elada täiskasvanuna.",õppima,majandama,kl6,varem inimene õpib majandama
35070,Nii õpid ennast paremini tundma ning jälgima.,õppima,tundma,kl6,Nii õpid tundma .
35100,"Arvuta, kui palju Anett, Ilja ja Katrin kroonides maksma peavad.",pidama,maksma,kl6,palju Anett maksma peavad
35162,Miks on kõigil vaja õppida prügi sorteerima?,õppima,sorteerima,kl6,õppida sorteerima
