id,sentence,verb,xcomp,level,sub
17225,"Kas jätad harjutuse või ülesande tegemata või palud vanemaid või vanemat õde-venda end abistada, kui sa seda teha ei oska?",oskama,tegema,kl7,", kui sa teha ei oska"
17236,"Need, kes oskavad küsimustele vastata, saavad lugemisprogrammi kleebise.",oskama,vastama,kl7,", kes oskavad vastata ,"
17239,"Jah, otsustasin sellest lugemisprogrammist osa võtta.",otsustama,võtma,kl7,"Jah , otsustasin võtta ."
17246,Tahan kõik nimekirjas olevad raamatud läbi lugeda ja saada kakskümmend kleebist.,tahtma,lugema,kl7,Tahan lugeda .
17299,"Ma ei mõista, kuidas küll vanemad lubasid teil klassiõhtu meie suvilas pidada.",lubama,pidama,kl7,", kuidas küll vanemad lubasid pidada"
17300,"Kui mina tahtsin seal oma sünnipäeva pidada, siis ei tulnud see kõne allagi.",tahtma,pidama,kl7,"Kui mina tahtsin pidada ,"
17303,No siis tahan ka mina sind ühe ohu eest hoiatada.,tahtma,hoiatama,kl7,No siis tahan mina hoiatada .
17328,Poiss otsustas teha väikese proovisõidu.,otsustama,tegema,kl7,Poiss otsustas teha .
17330,"Kui kõik tuttavad rajad olid läbi sõidetud, tahtis Heino ka maanteele minna.",tahtma,minema,kl7,sõidetud tahtis Heino minna .
17352,"Nii kiiresti, et unustasime klassiakna kinni panna.",unustama,panema,kl7,", et unustasime panna"
17359,Jõudsime akna sulgeda ja klassiukse lukku panna.,jõudma,sulgema,kl7,Jõudsime sulgeda .
17396,"Üks neist hoiab paadist kinni, teine on paadist eemal ja püüab vee peal püsida.",püüdma,püsima,kl7,ja püüab püsida
17397,Lapsed on kaldast kaugel ja ei oska vist ujuda.,oskama,ujuma,kl7,ja ei oska vist ujuda
17400,Noormees helistab mobiiltelefonil ja püüab memme üles aidata.,püüdma,aitama,kl7,ja püüab aidata
17459,"Püüa öelda õnnetuse või juhtumi täpne asukoht - linn, tänav, maja, küla, talu.",püüdma,ütlema,kl7,Püüa öelda .
17480,"Püüdsin küll kogu aeg meelde jätta loodusmärke, suuri kive, kõrgeid puid ja kraave, aga ikkagi ei saanud ma ühel hetkel aru, kus pool on kodu.",püüdma,jätma,kl7,Püüdsin küll jätta saanud .
17519,"Me puhastasime prahist pööningu, vanaisa lubas aga keldri korda teha.",lubama,tegema,kl7,", vanaisa lubas aga teha"
17550,Vetelpäästja püüab uppuvat last päästa.,püüdma,päästma,kl7,Vetelpäästja püüab päästa .
17557,Jõudsime päästeteenistuse töötaja ära oodata.,jõudma,ootama,kl7,Jõudsime oodata .
17606,Tahaksin mõnd kummitust oma silmaga näha.,tahtma,nägema,kl7,Tahaksin näha .
17659,"Metsavaimu perenaine oli rahuliku ja kannatliku meelega, ainult tema üksi jõudiski rähnieide lobisemist kuulata.",jõudma,kuulama,kl7,", tema üksi jõudiski kuulata"
17671,Aga mitte ükski metsaelanik ei tahtnud teda sisse lasta.,tahtma,laskma,kl7,Aga metsaelanik ei tahtnud lasta .
17675,"Võid olla üsna kindel, et just selle puu õõnsuses on peidus mõni metsavaim, kes tahab elada rahus ja vaikuses.",tahtma,elama,kl7,", kes tahab elada"
17700,"Miks sa, Tiina, ei julgenud ämblikku käe peale võtta, kui muuseumitöötaja seda sulle pakkus?",julgema,võtma,kl7,"Miks sa , ei julgenud võtta pakkus ?"
17705,Ega muidu poleks lubatud teda käe peal hoida.,lubama,hoidma,kl7,Ega muidu poleks lubatud hoida .
