id,sentence,verb,xcomp,form,level,sub
2136,"Kui kaal ei taha langeda, siis annab see endiselt põhjust nälgimiseks, kui kaal langeb, siis innustab see omakorda edasi kaalu langetama, tekib nõiaring.",innustama,langetama,langetama,gümn,"langeb , siis innustab see omakorda langetama"
2228,"Anoreksiahaigetele tundub, et nende kehakaal on liiga suur, et nendesse suhtutakse halvasti, kui nad sellised välja näevad - selline arvamine sunnibki nälgima või söödud toitu välja oksendama.",sundima,nälgima,nälgima,gümn,- arvamine sunnibki nälgima
2402,"Ärge abielluge sellega, kes ei muiga nalja peale, mis teid naerma ajab.",ajama,naerma,naerma,gümn,", mis teid naerma ajab"
2481,"Samuti õpetab see palju paremini oma aega planeerima - mida vabal ajal teha, et hommikul ei oleks pohmelli ja jõuaks õigeks ajaks väeossa.",õpetama,planeerima,planeerima,gümn,Samuti õpetab see paremini planeerima teha .
2482,"Kord peab muidugi karm olema, muidu see ei tööta, aga ma usun, et meie targad ja karmid ohvitserid saavad sellega ka hakkama.",saama,hakkama,hakkama,gümn,", et ohvitserid saavad sellega hakkama"
2512,Palume esinema austatud härra professor Kase.,paluma,esinema,esinema,gümn,Palume esinema .
2530,Hiidlane Helle Tikka oli piiratud nägemise tõttu sunnitud õppima uut moodi elama.,sundima,õppima,õppima,gümn,Hiidlane oli nägemise sunnitud õppima .
2619,"Kevad, puud, lilled rahustasid, panid mõtlema ja igatsema.",panema,mõtlema,mõtlema,gümn,"rahustasid , panid mõtlema ."
2639,Esimene pilk elusuuruses Land Cruiser V8-le paneb mõtlema.,panema,mõtlema,mõtlema,gümn,pilk paneb mõtlema .
2699,"Kõik autos istujad on kohustatud kinnitama turvavöö - nii lapsed, eakad inimesed kui ka täiskasvanud.",kohustama,kinnitama,kinnitama,gümn,istujad on kohustatud kinnitama .
2816,"Need, kel kasutada vähemalt keskmine Eestis pakutav püsiühendusteenus, peaksid kenasti hakkama saama.",saama,hakkama,hakkama,gümn,Need peaksid kenasti hakkama saama .
2956,"Refereerimine on parim võimalus, et sundida end loetust aru saama.",sundima,saama,saama,gümn,", et sundida saama"
3331,Esmalt avaldab kallis nafta survet tarbijatele ning sunnib neid käituma säästlikumalt.,sundima,käituma,käituma,gümn,ning sunnib käituma
3552,"Töö, pere, nüüd veel laps - tundub ju loogiline, et kõigega ei saagi enam hakkama?",saama,hakkama,hakkama,gümn,", et kõigega ei saagi enam hakkama"
3553,"Siis ma mõistsin, et kui tema saab asjadega hakkama ja on seejuures rahulik, siis pean ka mina saama.",saama,hakkama,hakkama,gümn,", et kui tema saab hakkama rahulik"
3711,"See on minu jaoks ennekõike tunnustus, mis motiveerib edasi töötama, mitte loorberitele istuma jääma.",motiveerima,töötama,töötama,gümn,", mis motiveerib töötama jääma"
3784,Kuidas näitlejad rollidega hakkama said?,saama,hakkama,hakkama,gümn,Kuidas näitlejad rollidega hakkama said ?
3785,Näitlejad said keeruliste ülesannetega suurepäraselt hakkama.,saama,hakkama,hakkama,gümn,Näitlejad said ülesannetega hakkama .
4335,Usk aitab halbadest mõtetest lahti saada ning õpetab ligimest armastama.,õpetama,armastama,armastama,gümn,ning õpetab armastama
4421,"Need käsud õpetavad tegelikult armastama omakseid, suhtuma mõistvalt meid ümbritsevasse maailma.",õpetama,armastama,armastama,gümn,käsud õpetavad tegelikult armastama suhtuma .
4853,"Kui vanemad elasid, sundisid nad mind ikka midagi tegema, aga ega ma rõõmuga teinud.",sundima,tegema,tegema,gümn,elasid sundisid nad ikka tegema teinud .
