id,sentence,verb,xcomp,form,level,sub
32918,"Carmen on temasse armunud ja veenab Joséd koos endaga mägedesse tulema, kus ootaks neid armastus ja vabadus.",veenma,tulema,tulema,gümn,ja veenab Joséd tulema ootaks
32923,José jäetakse kaupa valvama.,jätma,valvama,valvama,gümn,José jäetakse valvama .
33799,"Arvate, et sport teeb tugevaks, kasvatab tahtejõudu, õpetab aega hindama.",õpetama,hindama,hindama,kl6,", õpetab hindama"
33951,"See tähtis tegu usaldati Tõnu Vaheriie, sest just teda olid saarlased läkitanud Pekingi olümpiamängudele tuld süütama.",läkitama,süütama,süütama,kl6,", sest teda olid saarlased läkitanud süütama"
34146,"Võib-olla mind pandigi tennist mängima, et natuke rahu saada.",panema,mängima,mängima,kl6,Võib-olla mind pandigi mängima .
34171,Kord saadeti Gerd oma kooli esindama maakondade kergejõustikuvõistlustele.,saatma,esindama,esindama,kl6,Kord saadeti Gerd esindama .
34390,Tema bändi kutsutakse mõnikord algklassi pidudele esinema ja seal on väga lahe kõva rokkarit mängida.,kutsuma,esinema,esinema,kl6,bändi kutsutakse mõnikord algklassi esinema rokkarit .
34504,"Kas sinuga on juhtunud nii, et jätad midagi välja ütlemata, sest see tundub sulle tobe või igav?",jätma,ütlema,ütlemata,kl6,", et jätad ütlemata tobe"
34568,Siis peab osavõtja minema loomaarsti juurde looma tervist kontrollima.,looma,kontrollima,kontrollima,kl6,loomaarsti looma kontrollima
34590,"Koeri õpetatakse reageerima telefonihelina, uksekella, äratuskella ja lapse nutu peale.",õpetama,reageerima,reageerima,kl6,Koeri õpetatakse reageerima .
34595,"Kui oled kurb, siis paneb ta oma pea sinu sülle või kutsub mängima.",kutsuma,mängima,mängima,kl6,või kutsub mängima
34660,"Rääkimine lastele, et kord võetud looma ei tohi maha jätta.",jätma,looma,looma,kl6,", et looma ei tohi maha jätta"
34762,"Kuna mulle meeldis niikuinii vees olla, siis oskasin hästi kiiresti ujuda ja lõpuks pandi mind ka võistlustel ujuma.",panema,ujuma,ujuma,kl6,ja lõpuks pandi mind ujuma
35166,"Tegelikult mõjutavad meie elu päris palju just väikesed asjad, mida ka sina teed või tegemata jätad.",jätma,tegema,tegemata,kl6,või tegemata jätad
35371,"Arvutiprogrammi abil süüdatakse lambid, lülitatakse sisse küte, pannakse jooksma vesi, tehakse kodu korda ja palju muud.",panema,jooksma,jooksma,kl6,", pannakse jooksma"
35935,Võiksime teha jalgrattamatka!,tegema,jalgrattama,jalgrattamatka,kl6,Võiksime teha jalgrattamatka !
35959,Teeme parem jalgrattamatka.,tegema,jalgrattama,jalgrattamatka,kl6,Teeme parem jalgrattamatka .
36137,"See, kes tahab põnevamaid elamusi saada, on sunnitud kodutööd tegemata jätma.",sundima,jätma,jätma,kl6,See on sunnitud jätma .
36137,"See, kes tahab põnevamaid elamusi saada, on sunnitud kodutööd tegemata jätma.",jätma,tegema,tegemata,kl6,tegemata jätma
36188,"Lendamisõpetaja ei olnud nõus sellega, et ta lendas puu otsast alla, vaid sundis teda maast startima.",sundima,startima,startima,kl6,", vaid sundis startima"
36320,Hinded panevad õppima.,panema,õppima,õppima,kl6,Hinded panevad õppima .
36327,"Minu vaarisa jutustas, et kui tema koolis käis, siis pandi neid õpilasi, kellel koolitöö tegemata, nurka seisma.",panema,seisma,seisma,kl6,"käis , siis pandi õpilasi seisma"
36371,"Ema pidi mulle hommikuks jätma kolm banaani, aga unustas banaanid ostmata.",unustama,ostma,ostmata,kl6,", aga unustas ostmata"
36723,Mõnikord võib energiajook panna pea ringi käima ja vahel ei tule energiajoogi pärast õhtul und ka.,panema,käima,käima,kl6,Mõnikord võib energiajook panna käima tule .
36772,Kutsu ka teised pereliikmed oma salatit valmistama.,kutsuma,valmistama,valmistama,kl6,Kutsu ka valmistama .
37415,"Onu Sinine osutub võluriks, kes paneb kõik kuuseehted tantsima.",panema,tantsima,tantsima,kl6,", kes paneb tantsima"
37698,"Astrid jättis mõnikord lubatud ajal koju tulemata, sest tal oli linnas palju sõpru.",jätma,tulema,tulemata,kl7,Astrid jättis mõnikord ajal tulemata tal .
37720,Teda inspireeris kirjutama tema tütar.,inspireerima,kirjutama,kirjutama,kl7,inspireeris kirjutama tütar .
37852,Tütar peaks isa endaga rääkima kutsuma.,kutsuma,rääkima,rääkima,kl7,Tütar peaks isa rääkima kutsuma .
37909,"Kui ma olin 5-aastane, õpetas isa mind purjetama, sest meil Hiiumaal on meri ümberringi.",õpetama,purjetama,purjetama,kl7,"5-aastane , õpetas isa purjetama ümberringi ."
37949,Põhjus: rõhu suurenemine võib panna need plahvatama.,panema,plahvatama,plahvatama,kl7,: suurenemine võib panna plahvatama
37954,"Kui panete ahju kogemata käima, imeb vesi mikrolained endasse.",panema,käima,käima,kl7,"Kui panete ahju käima ,"
37998,Miks sa valisid just selle looma?,valima,looma,looma,kl7,Miks sa valisid looma ?
38031,"Nad võivad magada diivanil ja oodata, millal pererahvas koju tuleb ja nad jalutama viib.",viima,jalutama,jalutama,kl7,ja nad jalutama viib
38519,Kas see tüdruk sinu arvates on millegi väga hulluga hakkama saanud?,saama,hakkama,hakkama,kl7,Kas tüdruk arvates on millegi hakkama saanud ?
38643,"Paljud naised ja neiud püüdsid salaja lossi hiilida, kuid vahid märkasid neid alati ning ajasid nad minema.",ajama,minema,minema,kl7,ning ajasid nad minema
38825,"Kena kodu ja et ei pea kartma, kas homme ka rahaliselt hakkama saad.",saama,hakkama,hakkama,kl8,", kas homme ka rahaliselt hakkama saad"
38927,Siis oli ta sunnitud põgenema Kiievisse oma sugulase vürst Jaroslav Targa juurde.,sundima,põgenema,põgenema,kl8,Siis oli ta sunnitud põgenema .
39017,"Riik võiks vastu võtta sellise seaduse, et pannakse inimesi tänavaid valvama.",panema,valvama,valvama,kl8,", et pannakse valvama"
39472,Rulluiskudega on suurel kiirusel raskem hakkama saada kui rattaga või mäesuuskadega.,saama,hakkama,hakkama,kl8,hakkama saada rattaga
39725,"Kuulus on see inimene, kes on mõne tähtsa või uhke teoga hakkama saanud ja sel moel teistele kasulik olnud.",saama,hakkama,hakkama,kl8,", kes on teoga hakkama saanud kasulik"
39742,"Kuna torn oli nii kõrge, siis süütas äike selle mitu korda põlema.",süütama,põlema,põlema,kl8,"kõrge , siis süütas äike selle korda põlema ."
39925,"Tavaliselt ma kuulan muusikat kodus, aga mulle meeldib väga käia ka kontsertidel ja kui me käime sõpradega kuskil väljas või üksteise pool külas, siis me üritame alati ka muusika mängima panna.",panema,mängima,mängima,kl8,ka mängima panna
40208,"Kui ema kutsus pühapäevaõhtuti õde appi rulle pähe keerama ja too ei viitsinud, tegi selle töö ära Riho.",kutsuma,keerama,keerama,kl9,"Kui ema kutsus pühapäevaõhtuti õde keerama viitsinud ,"
40226,"Sellega ei saanud paljud mehed hakkama, aga mul polnud mingeid raskusi.",saama,hakkama,hakkama,kl9,Sellega ei saanud mehed hakkama mul .
40338,Kuidas karu oma filmirolliga hakkama sai?,saama,hakkama,hakkama,kl9,Kuidas karu filmirolliga hakkama sai ?
40379,"Ühel poisil oli kodus papagoi, kelle ta õpetas rääkima.",õpetama,rääkima,rääkima,kl9,", kelle ta õpetas rääkima"
40402,"Kui peremees viib looma jalutama, peab loom olema rihma otsas ja suukorviga.",viima,looma,looma,kl9,"Kui peremees viib looma jalutama ,"
40402,"Kui peremees viib looma jalutama, peab loom olema rihma otsas ja suukorviga.",viima,jalutama,jalutama,kl9,"Kui peremees viib looma jalutama ,"
40404,Looma ei tohi sundida midagi tegema.,sundima,tegema,tegema,kl9,Looma ei tohi sundida tegema .
40415,Kas seda looma peab viima jalutama?,viima,looma,looma,kl9,Kas looma peab viima jalutama ?
40415,Kas seda looma peab viima jalutama?,viima,jalutama,jalutama,kl9,Kas looma peab viima jalutama ?
40522,Kõik inimesed saavad ilma mobiiltelefonita hakkama.,saama,hakkama,hakkama,kl9,inimesed saavad mobiiltelefonita hakkama .
40624,"Sellest jätkub vaevalt nädalaks - edasi katsun ilma hakkama saada, häda korral laenan sõpradelt.",saama,hakkama,hakkama,kl9,ilma hakkama saada
40660,"Põhimõtteliselt mitte, igaüks peab oma rahaasjadega ise hakkama saama.",saama,hakkama,hakkama,kl9,"mitte , igaüks peab rahaasjadega hakkama saama ."
40775,Kas vanemad peaksid sundima last mõne harrastusega tegelema?,sundima,tegelema,tegelema,kl9,Kas vanemad peaksid sundima tegelema ?
40782,Kas sa tahaksid käia langevarjuga hüppamas?,tahtma,hüppama,hüppamas,kl9,Kas sa tahaksid käia hüppamas ?
40878,"Grete kiidab, et Karim on õpetanud tedagi peret rohkem hindama.",õpetama,hindama,hindama,kl9,", et Karim on õpetanud hindama"
40976,Koos Kalevi kommivabrikuga õpetati seal šokolaadi valmistama ja sellest kujukesi voolima.,õpetama,valmistama,valmistama,kl9,kommivabrikuga õpetati seal valmistama voolima .
41145,"Riigikogu liige, kelle rahvas on valinud end esindama.",valima,esindama,esindama,kl9,rahvas on valinud esindama
41239,"Sinu tüdruk kutsus mind tantsima, ütles, et sa ei lähe.",kutsuma,tantsima,tantsima,kl9,tüdruk kutsus tantsima ütles .
41872,Ja siis sunnivad mind käima seal veel.,sundima,käima,käima,kl9,Ja siis sunnivad käima seal veel .
41909,"Ma ei ole kindel, kas ma saan hakkama.",saama,hakkama,hakkama,kl9,", kas ma saan hakkama"
41961,Koos Kalevi kommivabrikuga õpetati seal inimesi šokolaadi valmistama ja martsipanist kujukesi voolima.,õpetama,valmistama,valmistama,kl9,kommivabrikuga õpetati seal valmistama .
42123,Mind pole pandud kirjutama seletuskirja.,panema,kirjutama,kirjutama,kl9,pole pandud kirjutama .
42206,"Kui sa koolis hakkama ei saa, mine kohe prükkariks.",saama,hakkama,hakkama,kl9,"Kui sa hakkama ei saa ,"
42224,"Sinu tüdruk kutsus mind tantsima, ütles, et sa ei lähe.",kutsuma,tantsima,tantsima,kl9,tüdruk kutsus tantsima ütles .
42228,"Sinu tüdruk kutsus mind tantsima, ütles, et sa ei lähe.",kutsuma,tantsima,tantsima,kl9,tüdruk kutsus tantsima ütles .
42232,"Sinu tüdruk kutsus mind tantsima, ütles, et sa ei lähe.",kutsuma,tantsima,tantsima,kl9,tüdruk kutsus tantsima ütles .
42267,"Kuninganna on kirjutanud raamatu, mis julgustab puudega inimesi sportima.",julgustama,sportima,sportima,kl9,", mis julgustab sportima"
