verb	compound	total
teema		20
ketsima		1
minema	välja	32
vaatama	peale	2
mängma		6
kandma		74
räägitama		2
seisma		131
kirjuma		9
Jalutame.pane		1
hommema		1
jooonistama		1
püks		7
tervek_s.hi		1
sööma	kaasa	3
kyidama		1
laht	taha	1
jalutame,mängima		2
javaatama		1
panema	ära	6
mõttlema		16
sõjtima		1
tulema	tagasi	127
sõdama		3
eksponaatid_,mängima		1
sõitme		1
viktoriini,vaatama		1
tegima		46
klasslahema		1
ostama		12
töötama		1919
jooksma	ära	15
jõud		1
sündima		326
lahme		1
matkama		82
lahm		7
vottama		3
sadama		45
kulama		2
veema		9
loomaaeda.tagama		1
koolis.algama		1
votma	kaasa	2
näme		1
kindama		2
klass_sõit		1
sõitma	edasi	2
rietuma		1
jope		1
saam_ejalutama		1
pandma		15
saame_tutv		1
mevaatama		4
ka.tervitama		1
palli,hüppama		1
onerinema		1
panema	järgi	1
paistma		53
linnu_vaatam		1
hommetoimuma		1
vattama		2
teade		27
loom		3
näima		18
koguma		77
jaletama		1
mängime,_rääkime		1
pluus		1
jalg		1
näema		10
või_leib		2
katsuma		11
jäätma		23
psnna		1
mapanema		1
sõitsimetartuma		1
maksma	ära	12
.kohtuma		2
,sõitma		1
väljuma		15
tutvuma		504
külastama		454
sobima		502
bussiga.alustama		1
kohtama		61
lõppetama	vaja	1
peatuma		20
müts		1
ekskursiooniset		1
mugama		5
riided.ootama		1
kõndima		62
õpetaja_hakkab		1
äme,mängima		1
kontuma		1
vaatame,_kuit		1
kampsuma		6
kirjutama	tagasi	50
jäätis,_sõida		1
kassama		1
,pane		1
basein_is,mäng		1
vätma		1
jaluma		5
ehitama		84
Jalutada.Panen		1
teatema		2
ootama	vastu	28
klassiõpetajakorraldama		1
panema	kaasa	1
riidema		2
värvima		21
avama		562
kinno,mängima		1
õppema		18
jalä_heme		1
panema	vaja	1
kokkuma		4
toimub12.05,alustama		1
kuulasime,vaatama		1
millessinu_meeldib		1
klassistulema		1
päästma		49
minna.pane		1
raakima		11
mekäima		1
asubvana-linnas.loomama		1
kirjuta,mima		1
joop		1
mejalutama		2
lõuna		1
mel_ähme		1
arutama		36
tegutsema		54
tead,et		1
me:jalutame,sööme,mangime,käima		1
saabas		2
Mängime,jooksime,hüppAtame		1
algumiseni_sõidame		1
linna_sjalutama		1
jõuma		2
rägima		13
klass_läht		1
keslähtema		1
lõikama		13
huppama		6
kirjatama		4
käime,mängima		2
tanäma		2
soitma		9
kutsuma	kaasa	170
misalgama		1
kaksma		1
lodama		1
palunhelistama		1
meisterdama		12
lahima		2
jalutada,rääkima		1
küsida,paluma		1
tahadmima		1
sapanedp_üks		1
tosuma		1
KuulaTa.ma		1
koosvõtama		1
mängime,joonistame,kirjutame,vaatama		1
Sõber,Denis		1
jalutame,koristama		1
minema	koos	12
,panema		1
seletama		169
jaluta_me,sööm		1
sõitma	tagasi	41
vaaatama		1
ööma		1
pannamustama		1
mängisime,kirjutama		1
panima		3
jasu_htlem		1
mängime,kuulame,suhtlema		1
joonistame.paluma		1
palun		1
sõda		1
loomi,jalutama		1
istuma		465
tänama	ette	45
jajoonistama		1
jonistama		5
laht		1
esitama		128
räguma		1
jajalutama		1
soovitama		145
aitama		1941
pildil,jonistame,mängima		1
planetaariumis,vaatama		1
saabuma		24
vaadata,mängima		1
osta.arvama		1
teathama		1
joonistame.pane		1
mängime,vaatama		1
annnama		1
täitma		51
mängimeerinema		1
kasvama		246
peame_panema		1
joonistada,jalutada,mängida,kuulama		1
soe		2
ojtama		1
huvita_b,siis		1
mailtoimuma		1
kontaktima		7
korjama		98
jaotama		4
toimma		1
palli,jalutame,korjama		1
pane		1
riie		1
näitlus,vaatama		1
sabuma		1
:vaatama		1
liiv		1
pildistame.ma		1
külatstama		1
jalutame,vaatama		1
pannema		5
siduma		1002
sõitma	välja	18
naitama		8
võttama	kaasa	8
muuseumisse,vaatama		1
tea,mima		1
mängi_me,tee		1
,hakkama		1
kummik		1
tänama		293
jälutama		7
tulema	üle	1
kamsuma		1
tomuma		4
loomadele		1
glaasist.ma		1
võtama		13
ujume,mängime,jalutame,söödma		1
jalutame.paluma		1
minema	vaja	27
panete,ema		1
lahema		21
minama		1
heleneg		1
antma		12
süüjama		2
kuulma		536
otsustama		447
paagima		1
võipma		1
või	kaasa	1
süa		1
tanama		9
tooma	kaasa, kaasa	1
puuduma		184
jooma	kaasa	3
võitma	kaasa	2
jook_sime,mängi=me		3
jooksima		63
utlema		7
vötma	kaasa	8
löpetama		1
saolima		1
pliatma		1
spordipäevtoimuma		1
võtama	kaasa	5
staadioniltoimuma		1
seealgama		2
tuulma	kohale	1
jooksime		3
mängime,jooksime		1
sööia		1
puudma		5
võtma	.kaasa	4
seetoimuma		1
olima		5
joksma		4
toimuma	kõrvale	1
puudima		1
olema	kaasa, vaja	6
kaasama		7
täpsustama		141
võtta_,mid		1
mail.toimuma		1
pidama	kaasa	3
jalutama	koos	3
võõtma	kaasa	1
puudutama		40
jookseme,hüppama		1
õppi,pannema		1
hupema		1
hea		6
osten		1
sportsaalistoimuma		1
mängida,joostma		1
votama	kaasa	1
toimuma	üles	1
söötma		3
osalema		1277
võtma	ära, kaasa	1
võilema		1
peama		1
võtma	kaassa	1
kavama		6
tegetsema		1
kavatma		4
hilineskima		1
ütlema	edasi	2
mängisima		2
naerma		29
panema	peale	6
teadma	jooksa	1
viskama		129
11.00.toimuma		1
jooksama		7
6_8.algab		1
registreeruma		29
sooma		4
tõukma		1
rulema		1
värsema		1
andama		5
heitma		9
teankuhtuma		1
loterii		1
jooks		6
unistama		88
tolmuma		1
asuma	juures	1
teatejoks,mängima		1
puduma		2
mai.tulema		1
kava		2
võitma		1007
hüppema		4
:mängima		1
jooks_ma,h_üppama		1
kuul		1
tõukama		5
jüüdma		2
võõtma		2
toimuma	vaja	2
meuisutama		1
kaasa.ma		1
registrerima		5
nahama		1
autosustama		1
tegama		21
tea,agama		1
saa.kaasama		1
alagama		1
muugama		2
sõitama	vaja	1
-mängima		1
,tantma		2
lulama		1
tahtma	vaja	1
Teha.oN		1
ütllema		1
võtma	koos	2
mängime_,uisutam		1
naer		1
hästiorganiseerima		1
riutama		1
tuled,paluma		1
puut		1
süda		2
sportima		11
möngima		1
müüma		91
erenima		1
viaskama		1
mmängima		1
hüpame		1
saama	kohal	2
suhelda=.sa		1
.saama	kokku	1
–kirjutama		1
tulema	kaasa	25
jooksma,hüpama,viskama		1
jüüma		4
tojmuma		1
tullma	tagasi	1
võtma	tagasi, kaasa	1
teavitama		17
,votma		1
puutuma	kokku	115
valima		1663
vajama		373
parandama		330
kasutama		728
tegema	edasi	29
harjutama		45
kandma	ette	1
laulma	kaasa	18
looma		359
pühenduma		12
avastama		107
vihama		6
käima	ringi	26
assotsieerima		1
nimetama		167
nautima		208
minma		1
panema	kokku	16
seostuma		49
tarbima		15
seletama	ära	2
jagama		184
kujutama	ette	146
võtma	maha	18
heidutama		1
tegema	maha	2
kulgema		4
katsetama		10
leitama		3
pidama	vastu	4
ümbritsema		79
kujuma		10
ümisema		11
andma	juurde	16
suutma		366
seostama		32
mööduma		64
lebama		2
tõmama		1
hingama		16
seisnema		25
vaevama		4
pühkima	ära	2
särama		9
muutma		845
pruukima		83
märkama		163
tõmama	välja	1
pärandama	edasi	1
tulema	vastu	14
leevendama		18
kaduma	ära	26
koonduma		2
arendama		323
tõstma		91
mõjutama		287
ühtlustuma		1
jumaldama		10
tekitama		255
eristama		19
koosnema		58
sarnanema		16
sõltuma		558
lülitama		4
nostalgitsema		1
jälestama		2
tingima		10
sundima	peale	3
nõustuma		137
lisama		170
panema	tähele	14
kõnnima	ringi	3
haarama		14
andma	edasi	24
piirduma		9
väitma		115
loobuma		64
ühendama		124
võimaldama		106
leiduma		139
lükkama		10
muutuma		930
õpima		229
keelduma		13
vedama		71
töötama	üles	1
võtma	ära	31
jääma	järgi	2
kujunema		43
keskenduma		120
segama		131
rajama		16
kahanema		5
jätma	kõrvale	4
saatma		386
olenema		79
kandma	kaasas	14
salvestama		23
sisustama		14
omama		53
määrama		19
muutuma	edasi	3
arenema	edasi	53
viima	kokku	7
tõlkima		41
olema	tarvis	42
konsentreeruma		4
rahustama		28
stimuleerima		4
põgenema		33
vihati		3
meenutama		75
vihkama		67
huvituma		43
minema	üle	9
kaduma		122
kaasnema		90
tuletama		50
kulutama		78
üritama		83
pidama	kinni	9
tolereerima		1
lauluma		3
lohutama		5
innustama		8
minema	edasi	80
hõlbustama		3
samastuma		9
mõistma		188
jätma		168
peituma		28
mõtestama	lahti	3
sätestama		1
sõna		1
hoidma	kaasas	1
toimima		47
teadvustama		2
omandama		123
laekma		1
kirjeldama		80
pöörduma		73
musitseerima		6
järeldama		23
kutsuma	esile	2
kaotama		158
lõdvestama		4
viima	eemale	8
jätkama		169
andma	alla	19
lahkama		1
hoolima		36
tõmbama		30
tõdema		32
hajutama		3
korduma		7
põimima		4
jälgima		76
püstitama		8
kopeerima		2
suruma	peale	7
õhkuma		1
sunnitama	peale	1
naudima		24
käima	kaasas	35
puhuma	sisse	2
minema	kaasa	13
rääkima	kaasa	4
hoidma	peal	1
arenema		673
püsima	kaasas	1
viibima		65
aitama	kaasa	98
käima	kaasa	2
ilmuma		83
tulema	kokku	15
valima	välja	124
reisima		311
paeluma		6
hakkama	peale	5
väljendama		240
paiknema		9
vabanema		9
tooma	kokku	32
ise_loomustama		39
iseloomustama		4
saama	üle	20
avaldama		1075
ohjeldama		1
lõimima		1
sattuma		83
motiveerima		80
moodustama		39
lõõgastuma		19
jääma	külge	5
valama	välja	1
ilmestama		1
täiendama	eest	1
kõlama		44
kõnnima		8
eemaldama		3
jäädvustama		5
tooma	tagasi	17
komposeerima		1
intensiivistuma		1
kahjustama		75
tõestama		29
seadma		21
jätma	välja	5
kasutama	kõrvale	1
tulema	esile	4
kaitsma		53
suunama		26
vormima		7
kuluma	ära	1
tunnetama		12
elama	välja	14
elama	üle	15
diskuteerima		3
sukelduma		6
avanema		32
rahunema		10
hindang		1
tunduma		369
pugema		9
tatsuma		3
laskma	välja	3
vaidlema		78
inspireerima		21
vähendama		51
sobima	kokku	2
jõudma	edasi	8
tulenema		20
tulema	välja	156
tundma	ära	15
tüdinema	ära	3
viitsima		53
kurdistama		1
lõõgastama		3
rahuldama		14
ületama		21
tooma	välja	40
põhjustama		66
nõrgestama		2
lülituma	välja	2
kurdistuma		1
viima	läbi	70
püüdlema		9
suurendama		33
jätkuma		71
lahutama		18
püsima		37
harjuma		137
panema	üles	6
mõnulema		1
austama		132
edastama		19
opetama		2
jättama		6
süvenema		28
sahisema		1
langema		35
saama	valmis	4
tõusma	püstigi	1
laulma	peale	1
võitma	ära	1
pääsema		14
esinema	edasi	2
väljenduma		8
julgema		43
valdama		44
minema	kokku	8
liitma		9
hoidma	kokku	28
võtma	kinni	3
hääbuma		6
kuuluma		91
olema	koos	8
pööritama		1
rõõmustama		48
elama	läbi	15
olema	eemal	1
vahetama		95
lindistama		2
kandma	edasi	14
võtma	üles	2
eksperimenteerima		10
sisenema		10
pühkima		6
sulgema		21
grillima		45
rändama	tagasi	1
lüüema		1
mõjuma		111
kajastuma		3
otsima	üles	2
kutsuma	kokku	2
nõudma		78
tiirlema		2
pingutama		693
toetuma		30
enamlevima		1
eelistama		119
suhtuma		112
kuulduma		2
tajuma		15
lahendama		842
ajama		33
läbima		269
leiutama		117
tunnistama		23
vananema		4
muutuma	kokku	1
arutlema		113
jagunema		8
tulema	juurde	19
suurenema		52
tegelema	ilma	1
sundima		66
miksima	kokku	2
tsiteerima		11
meenuma		28
pikendama		13
tooma	esile	11
ärkama		41
minema	kinni	5
sisendama		1
kasvatama		77
patsutama		1
mõistma	ära	1
saama	läbi	61
paigutama		8
rahmeldama		1
varieeruma		2
mangima	kaasa	1
kujunema	välja	16
hoidma	ülal	1
saama	otsa	5
toetama		127
õnnestuma		222
kujutama		43
peletama		6
võtma	külge	1
postitama		15
peatama		7
vältima		101
kujuma	ette	36
üritama	peale	1
jonnima		1
aitama	eemale	1
edenema		4
igatsema		46
eemalduma		2
unustama	maha	1
häirima		49
paranema		248
käima	läbi	18
ununema		12
avardama		23
sulguma		1
fändama		2
raatsima		1
õppima	ära	25
laskuma		4
rikkuma		76
järgima		27
tehdma		2
mugavdama		5
tootma		47
saama	juurde	3
tegema	heaks	2
maandama		13
mõtlema	juurde	3
sirkuma		3
vallutama		11
ilmuma	kohale	1
eralduma		5
jääma	ilma	24
levima		61
teenima		125
tinistama		4
mainima		92
lisanduma		4
miksima		2
tulema	peale	4
orienteeruma		8
süvendama		11
tervendama		3
kasvama	üle	1
köitma		7
viima	ära	3
nakatatama		1
kasvama	üles	67
kolima	ära	14
jääma	pooleli	3
kuulama	edasi	1
tantma	ringi	1
tungima		4
kujundama		50
ostlema		3
vabastama		10
ravima		58
hõlmama		8
lähtuma		26
pusima		2
võnkuma		1
väsima	ära	8
saama	eemale	3
eksisteerima		48
mõtlema	üle	10
pikutama		1
peitma		15
tõde		1
seiklema		1
sooritama		115
kuri_tarvitama		1
eristuma		4
hoidma	eemale	4
seonduma		6
lülitama	välja	7
jõudma	tagasi	14
formuleeruma		1
käima	läbi, kokku	1
naima		3
paastama		1
tagama		17
hiilima	eemale	1
nägema	kohal	1
tärkama		4
suruma		8
katma		38
imestama		27
ulatuma		7
kohama		4
minema	lahtigi	1
võrdlema		131
võtma	läbi	2
ootama	ära	1
lõpetama	ära	8
tahetama		1
arvestama		119
liikuma	ringi	11
liikuma	edasi	54
liigutama		16
pesema		63
mõlguma		2
rohima		5
kinnitama		20
minema	peale	9
kuulama	kokku	1
rikastama		9
avalikustama		1
valmima		5
halvustama		6
tõmbama	ligi	2
