verb	total
kohkuma	3
sõudma	1
tülitama	8
laetud	1
riskima	4
sõnama	2
purskama	1
kohisema	1
ujutama	3
pursama	1
vihtlema	4
eksitama	1
kõdunema	1
näksima	1
kadunu	1
süütama	9
uuristama	1
hirmutatud	1
hirmutama	3
maskeerima	2
hääldama	3
toksima	3
teritama	2
koputama	2
taguma	1
annetama	6
elutsema	2
oskuma	1
vedelema	8
pilkama	3
sorteerima	9
koorima	3
laisklema	2
sobiv	2
tapeetima	2
kombineerima	2
kloppima	3
lesima	5
siblima	1
viis	1
kraamima	3
sulatama	6
valgendama	1
lõbustama	2
jooksutama	1
higistama	4
mossitama	2
virisema	3
uuendama	4
vihastama	3
norkima	2
kõlbama	9
hõõruma	6
mädanema	2
kissitama	2
narrima	14
narritama	1
taluma	8
kompvekkima	1
kookima	1
tüüdma	2
serveerima	3
näljutama	3
ohustama	2
nohkuma	1
tervitama	37
värgima	1
lõhnastama	2
pinema	2
hüvitama	2
tlma	1
lühendama	3
lihvima	2
külvama	4
sülitama	3
kägardama	1
näpistama	1
loopima	8
riidlema	2
solvama	7
keksima	1
paisuma	1
viipama	1
aerutama	1
unuma	1
õmmeldama	10
diskuteerima	2
ühinema	6
krooksuma	1
kõrvetama	3
startima	5
pagema	1
konutama	1
šokeerima	2
suplema	6
limpsima	3
higima	1
haritud	4
suruma	9
õõtsutama	1
turgatama	3
tüürima	2
reisma	3
sulistama	1
müristama	2
telgima	2
soojenema	3
telgitama	1
tassima	2
uputama	3
testima	3
lubatama	3
krabistama	3
tervita=v	4
pööreldama	1
viissa-adama	1
harjuta=nud	3
müts	1
pütt	1
praktiseerima	7
registreeruma	3
pandma	1
pikenema	1
libisema	3
kottuma	1
puhatama	1
lastma	1
lennatama	1
küsitama	1
maadlema	2
intervjueerima	4
au_tasustama	2
kustuma	2
fantaseerima	3
luisma	3
püstitama	9
karastama	2
autasustama	2
maadel=nud	1
kleepima	3
voolima	4
küürima	2
jonn	1
einestama	1
röstma	1
peenestama	1
riivima	1
viilutama	2
vahustama	4
püreestama	1
hautama	1
korisema	1
söestu=nud	1
praema	1
purema	1
lonkama	2
tuulutama	1
lüpsma	2
lakkima	1
kamandama	2
tüdenema	1
kiitlema	3
konkureerima	1
palkama	3
kündma	1
sööde=tud	1
niitma	4
luiskama	1
rohkima	4
keevitama	1
pumpama	1
harima	2
näkkama	1
nõelama	2
keede=tud	1
peletama	1
sirgu=nud	1
ilmatema	1
realiseerima	3
ehmunud	1
väntama	1
tervima	1
suubuma	1
kaevandama	1
elustama	3
agiteerima	1
saastama	6
saagima	2
vestma	2
askeldama	1
kadestama	5
katkema	2
lehktsema	1
värskendama	2
võõrustama	2
kosuma	1
mõistatama	3
pöörlema	2
purjetama	4
laduma	3
sobitama	1
kargama	2
moonduma	1
kõrbema	3
külmunud	1
lehvima	2
maiustama	2
putkama	1
ripputama	3
matsutama	4
heegeldama	2
õmmel=dud	3
ehmu	1
jälitama	1
haihtuma	1
tutema	4
majutama	2
taotlema	12
kompenseerima	6
panustama	2
valguma	2
filosofeerima	1
mintuma	1
nooguma	1
logima	1
elavnema	1
küsitlema	3
sallima	3
pidema	1
tüütma	2
piirduma	2
lisa	3
demonstreerima	3
veerima	1
sulanduma	1
põlduma	1
näpppma	1
stressima	1
mõrbama	1
suitsema	1
tossama	1
koukima	1
plahvatama	2
pilgutama	2
üle_kantuma	1
kerima	1
näha-kuuldama	1
küsitletud	1
antama	1
varuma	1
teietama	3
sinatama	1
lindistama	5
punastama	1
kortsutama	1
loetma	1
seotma	1
süstima	1
konsulteerima	1
arutlema	6
rühmitama	1
kombineeruma	1
käänama	2
tsenseerima	2
laps	4
vangutama	1
informeerima	1
postitama	1
väitlema	4
kohandama	3
puhasta=tud	2
mängi=tud	3
keskema	1
rahastama	3
konspekteerima	1
vättima	1
tasa_kaalusta=tud	1
tulistama	1
haavama	1
piinlema	1
edenema	3
pikendama	1
suudlema	4
küttima	1
jahtima	1
moonutama	1
sisendama	1
pretendeerima	1
nihkuma	2
vastas	1
kujutletama	1
streikima	1
ilmne	1
pürgima	1
nakatama	3
tarduma	1
süvendama	3
rõkkama	1
teretama	4
klõbistama	1
surfima	2
hõlbustama	1
kohendama	1
pelgama	2
arvutiseerima	1
veengima	1
edvistama	1
seostuma	2
lugu	1
vaimustama	3
salgama	1
selts	1
laotama	1
ehima	1
kerjama	2
tunnustama	5
laitma	1
norima	1
aktiviseerima	2
alandama	4
sirutuma	1
lõdvestuma	3
pikkuma	1
lõdvestama	1
aeglustuma	2
vähkrema	2
eralduma	2
võluma	1
jäljendama	1
erutama	2
murema	2
deformeerima	1
inimlikustama	1
lõkerdama	1
sättima	1
lutsima	1
riibama	1
toonitama	2
jäädvustama	1
keerlema	2
vallatlema	1
võrsuma	1
risustama	1
tuhlima	1
väljenduma	10
hellitama	5
hoi=tud	1
togima	1
tõukama	2
jälgi=tud	1
käivituma	1
kahtlev	1
rajanema	1
paljastama	1
märgistama	1
lävima	1
näägutama	1
tõrelema	1
kisendama	3
tõotama	1
ähvardama	2
põlvitama	2
looksima	1
mõnitama	4
pingesta=tud	1
aretama	2
vaimustuma	1
kiinduma	1
süstematiseerima	3
hajuma	2
asetuma	1
kukutama	1
suund	1
liidlama	1
märgatama	1
kiskuma9	1
fakultama	1
maxema	1
studeerima	1
kanduma	2
einetama	1
eelnema	3
viljelema	1
toniseerima	1
lõõgastama	1
saadetama	1
väljastama	2
inspireeritud	1
loovutama	2
arveldama	2
edestama	2
kavandama	5
omastama	1
taganema	2
teavita=tud	1
liisima	1
purjus	1
projekteerima	1
laotima	1
lammutama	2
renoveerima	5
automatiseerima	1
imiteerima	1
looksma	2
broneeri=tud	1
väisama	1
restaureeri=tud	1
sisustama	5
üürima	5
sportima	8
toidma	1
paaritama	1
sõlmima	4
vaktsineerima	1
steriliseerima	1
sööbima	1
tugevdama	3
nõrgestama	2
avarduma	3
juhendama	5
alluma	2
purunema	2
pomisema	1
möirgama	1
ärrituma	3
kõhklema	1
julgetama	1
respekteerima	1
võlgnema	1
viin	1
kõnnitama	1
sillutama	1
silmima	2
kriipsutama	1
kibestuma	1
huvi_pakkuv	1
täisnema	1
raskendama	1
garanteerima	4
seostuv	1
leevendama	1
kergitama	1
manduma	1
rabama	1
labama	1
vallandama	1
leinama	1
luhtuma	1
libistama	3
skannima	1
tarmama	1
propageerima	1
apelleerima	1
lülima	1
reprodutseerima	1
realiseeruma	1
kulla=tud	1
reostama	6
taas_kasutama	1
vananema	1
helvestama	1
hoogustuma	1
kahe_kordistuma	1
ohusta=tud	2
kerkima	2
saastuma	3
mürkima	1
hõrenema	1
uhtuma	1
kõrbestuma	1
roostetama	1
funktsioneerima	1
närveerima	1
mobiliseerima	1
alanema	1
tursu=nud	1
kestendama	1
loendama	3
kahtlustama	1
eitama	2
rusuma	1
ahenema	1
legaliseerima	1
eemaldama	3
paastuma	2
tasustama	2
loovuta=nud	1
stimuleerima	1
rikastuma	1
kauplema	2
taanduma	1
lähendama	1
sõbrunema	2
avameelitsema	1
lukustama	2
laikma	1
asetsema	3
hoogustama	1
lagistama	1
kalastama	2
paisu=nud	1
pidutsema	1
niisutama	1
põimima	3
soonima	1
märjema	2
soojustama	1
tuhmuma	1
majandama	2
õmmeldima	1
puhkema	2
vahistama	2
jahutama	2
dresseerima	1
põimuma	2
hargnema	1
olenTima	1
oletima	1
oleTaavima	1
kaRinima	1
mikuma	1
elabTama	1
ela_beartuma	1
ela_bTurbama	1
mahuma	1
koon	1
koodma	1
saavama	1
võtama	5
lauduma	1
pikene=nud	1
hulguma	1
läkitama	1
nakatuma	1
noorima	1
kaifima	1
tukkuma	1
kihistama	1
riima	1
eba_meeldima	1
koerandusingima	1
diagnoosima	1
mattuma	1
põlama	1
harjama	1
ruigama	1
jahmunud	1
põrnitsema	1
hukkama	1
heisma	2
salguma	1
läikima	2
loputama	1
tühjendama	2
kogu	2
keebima	1
sodima	3
sodi	1
leiutatu	1
prognoosima	1
taastuma	1
maanduma	2
tõlk	1
tankima	1
vilgutama	1
piiksuma	1
siirdama	1
kohus	1
luikema	1
jalgrattama	2
rabelema	1
ujulestama	1
mõnulema	1
luuletama	1
mürama	1
ampsama	1
krõpsuma	1
jootma	3
rokkima	1
mitme_kordistuma	1
erinev	1
elektrifitseerima	1
tätoveerima	2
loksuma	1
kraadima	1
tilgutama	1
rösti=tud	1
jahvata=tud	1
kallama	1
inspireerima	1
sõimama	3
kullama	3
põhjenda=tud	1
üld_tuntud	1
kuumenema	1
võrdsustuma	1
lõhkema	1
käivima	1
tuhnima	1
nuuskima	1
röökima	1
röhkima	1
munema	1
talvima	1
loksutama	1
sajuma	2
kõrguma	1
leotama	2
hiilistama	1
müürima	2
riietatud	1
tul=dud	1
sufima	1
pärgma	1
reosma	1
õppitama	1
mahavisama	1
linastuma	3
häälitsema	2
kätlema	3
asfalteerima	1
parkima	1
kuurima	1
tooksma	1
monteerima	2
improviseerima	1
lahenema	4
kiljuma	1
masseerima	1
ramp_väsinud	1
sõprama	4
klatšima	1
komposteerima	1
kohkunud	1
?!	1
žestikuleerima	2
embama	1
põrutama	1
rüüstama	1
hulpima	1
sädistama	1
kolama	2
kõhlma	1
aima	1
jootama	1
näksama	2
nuusutama	1
sisesta=tud	1
sirvima	1
tadama	1
pobisema	1
breikima	1
trumbama	1
kakklema	1
vigastatud	1
lagunema	2
maatlema	2
jäätuma	1
külmetama	1
varjuma	1
põtma	1
ketsima	1
heiskama	1
laislama	1
lärmama	2
laiutama	1
taas_ise_seisvu=nud	1
modelleerima	1
hangima	2
kitkuma	1
pildma	1
nuidma	1
kätte_jõud=nud	1
jaa	1
käsema	1
kõrvalestama	1
aurama	1
iiveldama	1
loojuma	1
nõu=tud	1
sihuma	1
nuhtima	1
ülbitsema	1
matkima	1
sukelduma	1
