verb	total
pihtima	140
tõlgitsema	15
lehvitama	316
abistama	180
jooma	2596
põgenema	1000
pöörlema	125
vilkuma	82
reprodutseerima	26
esitlema	299
struktureerima	78
funktsioneerima	146
taandama	137
illustreerima	220
nihestama	23
korralduma	3
kruvima	96
vastanduma	240
formeeruma	39
kompama	81
talitama	185
nullistama	3
representeerima	17
kehastama	168
aktsentueerima	8
prevaleerima	57
ristuma	37
kõverduma	20
teravnema	37
polariseerima	8
mitmestuma	1
minetama	88
resümeerima	35
rasvuma	12
sisendama	215
kavaldama	48
tõmbuma	645
eksalteerima	11
käärima	50
varjundama	3
turtsatama	94
karjuma	1123
hingeldama	177
laiutama	214
silmitsema	540
muigama	892
kehitama	357
mornistuma	3
liibuma	81
rütmistama	4
metaforiseerima	1
läbistama	52
värvima	344
painutama	81
toestama	24
kohtlema	200
unistama	573
manipuleerima	76
elustama	70
grimeerima	5
distantseerima	25
taaslooma	29
puänteerima	3
kehastuma	49
balansseerima	23
nautima	852
konstitueerima	32
tähtsustama	163
avardama	93
revideerima	31
eesmärgistama	26
sanktsioneerima	25
suigatama	17
varitsema	127
valama	697
kisendama	124
välkuma	68
noogutama	944
kanoniseerima	8
valguma	267
nihestuma	6
jäädvustama	150
summutama	122
reastama	45
lahustuma	149
sõdima	241
nõudlema	1
teostuma	72
ähmastuma	29
võidutsema	51
hukkuma	704
personifitseerima	10
transponeerima	4
reeglistama	6
pealkirjastama	25
raamima	49
sünnitama	448
süttima	260
eritlema	14
hülgama	185
sulanduma	82
kulmineerima	4
komponeerima	39
tähtsustuma	43
reflekteeruma	3
puhkema	561
teravdama	41
killunema	4
pälvima	503
voolama	760
sulama	442
müüdistuma	1
röõbituma	1
veetma	843
madalduma	11
galopeerima	1
vältama	101
ahastama	75
sonkima	17
süstematiseerima	58
identifitseeruma	11
käitlema	9
lõdvenema	13
kostümeerima	11
metaforiseeruma	1
mattuma	91
võrdpildistama	1
tuiskama	113
neelama	458
sümboliseerima	104
historiseerima	1
pidestuma	1
manama	166
raaguma	3
pimenema	20
kriipsutama	37
hakkima	60
eksperimenteerima	32
koitma	61
semantiseeruma	1
luhtuma	83
assotsieeruma	47
heiastama	2
lõhestama	82
hingama	814
solvuma	234
külgnema	10
sisustama	162
meelitama	611
seirama	74
kohkuma	158
naerma	3051
multiplitseeruma	1
hääldama	216
sõnuma	32
sõnama	1786
palataliseerima	12
lahknema	50
distantseeruma	32
kukutama	134
vastandama	190
nõrgestama	39
provotseerima	62
institutsionaliseeruma	3
pürgima	133
visioneerima	1
hirmuma	93
õhutama	200
positsioneerima	17
tipnema	38
joonistuma	44
tihenema	92
saastuma	58
patrullima	42
spetsialiseeruma	90
harrastama	172
stratifitseerima	2
vahistama	194
rasima	5
sugenema	67
nüüdima	1
neutraliseerima	39
intervjueerima	73
uhkustama	74
koopereeruma	8
stažeerima	9
paeluma	71
reklaamiandama	1
pettuma	310
kahetsema	533
shoppama	2
idealiseerima	61
kommertsialiseeruma	2
surfama	29
globaliseeruma	10
kristalliseerima	2
initsieerima	10
umbusknema	1
sillutama	42
depolitiseerima	4
tallama	186
piirnema	27
kiskuma	936
organiseeruma	19
valjendama	2
suitsema	75
suitsetama	499
teadustama	31
lõõgastuma	54
ujuma	610
korrumpeeruma	19
diskuteerima	74
reflekteerima	23
magama	3015
ahenema	29
jahuma	21
venima	401
usutama	52
harjutama	530
heidutama	53
riputama	330
sotsialiseerima	3
lõimima	17
sujuma	114
laiuma	92
nokitsema	52
nõustama	92
sirguma	86
põlastama	63
väsima	735
sünkroonima	18
sobituma	40
murendama	24
tasalülitama	7
pagendama	18
naeruvääristama	41
keelustama	97
pesema	917
keetma	396
